index_code,date,close,open,high,low,SP500,gold,WTI_oil,label
eur_usd,8/1/1999,1.05640 ,1.06820 ,1.08290 ,1.03930 ,1320.41000 ,255.80000 ,22.11000 ,1.06840 
eur_usd,9/1/1999,1.06840 ,1.05660 ,1.07320 ,1.02850 ,1282.71000 ,297.90000 ,24.51000 ,1.05510 
eur_usd,10/1/1999,1.05510 ,1.06780 ,1.09130 ,1.04330 ,1362.93000 ,299.20000 ,21.75000 ,1.00910 
eur_usd,11/1/1999,1.00910 ,1.05510 ,1.05950 ,1.00370 ,1388.91000 ,290.10000 ,24.59000 ,1.00750 
eur_usd,12/1/1999,1.00750 ,1.00960 ,1.03050 ,0.99910 ,1469.25000 ,288.50000 ,25.60000 ,0.96950 
eur_usd,1/1/2000,0.96950 ,1.00520 ,1.04160 ,0.96700 ,1394.46000 ,283.20000 ,27.64000 ,0.96470 
eur_usd,2/1/2000,0.96470 ,0.97020 ,1.00900 ,0.93910 ,1366.42000 ,292.40000 ,30.43000 ,0.95620 
eur_usd,3/1/2000,0.95620 ,0.96450 ,0.97960 ,0.94780 ,1498.58000 ,278.40000 ,26.90000 ,0.91230 
eur_usd,4/1/2000,0.91230 ,0.95620 ,0.97520 ,0.90290 ,1452.43000 ,273.10000 ,25.74000 ,0.93790 
eur_usd,5/1/2000,0.93790 ,0.91200 ,0.94120 ,0.88450 ,1420.60000 ,271.70000 ,29.01000 ,0.95260 
eur_usd,6/1/2000,0.95260 ,0.93710 ,0.97030 ,0.92840 ,1454.60000 ,290.10000 ,32.50000 ,0.92630 
eur_usd,7/1/2000,0.92630 ,0.95260 ,0.96010 ,0.91910 ,1430.83000 ,276.80000 ,27.43000 ,0.88880 
eur_usd,8/1/2000,0.88880 ,0.92650 ,0.92930 ,0.88390 ,1517.68000 ,278.30000 ,33.12000 ,0.88390 
eur_usd,9/1/2000,0.88390 ,0.88870 ,0.90400 ,0.84390 ,1436.51000 ,273.60000 ,30.84000 ,0.84930 
